iso,country,records,deaths,deaths_reported,deaths_coverage_pct,affected,affected_reported,affected_coverage_pct,damage_usd,damage_usd_reported,damage_usd_coverage_pct,damage_adjusted_usd,damage_adjusted_usd_reported,damage_adjusted_usd_coverage_pct
LBR,Liberia,18,4929.0,9,50.0,659320.0,17,94.44,,0,0.0,,0,0.0
LBY,Libya,4,13225.0,4,100.0,1625365.0,4,100.0,6207100000.0,2,50.0,6559762000.0,2,50.0
LCA,Saint Lucia,12,25.0,5,41.67,234802.0,6,50.0,77000000.0,5,41.67,106147000.0,5,41.67
LIE,Liechtenstein,2,1.0,1,50.0,,0,0.0,,0,0.0,,0,0.0
LKA,Sri Lanka,86,38946.0,70,81.4,21038547.0,85,98.84,8098750000.0,18,20.93,9998736000.0,18,20.93
LSO,Lesotho,16,57.0,4,25.0,4327017.0,15,93.75,,0,0.0,,0,0.0
LTU,Lithuania,14,1095.0,10,71.43,,0,0.0,255573000.0,2,14.29,409697000.0,2,14.29
LUX,Luxembourg,8,269.0,5,62.5,1519.0,1,12.5,31000000.0,1,12.5,45769000.0,1,12.5
LVA,Latvia,13,393.0,8,61.54,302.0,2,15.38,325000000.0,1,7.69,535770000.0,1,7.69
MAC,"China, Macao Special Administrative Region",3,10.0,1,33.33,205.0,2,66.67,1420000000.0,1,33.33,1865044000.0,1,33.33
MAF,Saint Martin (French Part),1,12.0,1,100.0,110.0,1,100.0,4100000000.0,1,100.0,5384987000.0,1,100.0
MAR,Morocco,37,4101.0,26,70.27,11593478.0,29,78.38,8252059000.0,9,24.32,8892220000.0,8,21.62
MDA,Republic of Moldova,12,34.0,7,58.33,2852038.0,10,83.33,446184000.0,4,33.33,703748000.0,4,33.33
MDG,Madagascar,84,3166.0,64,76.19,16733373.0,82,97.62,1658181000.0,19,22.62,1570703000.0,17,20.24
MDV,Maldives,6,106.0,2,33.33,33727.0,6,100.0,470100000.0,1,16.67,801264000.0,1,16.67
MEX,Mexico,171,2631.0,144,84.21,15538601.0,131,76.61,57099605000.0,69,40.35,76957190000.0,68,39.77
MHL,Marshall Islands,9,6.0,1,11.11,66498.0,8,88.89,4900000.0,1,11.11,6656000.0,1,11.11
MKD,North Macedonia,23,69.0,11,47.83,1350001.0,19,82.61,164163000.0,5,21.74,230149000.0,5,21.74
MLI,Mali,40,527.0,23,57.5,14399871.0,37,92.5,165000000.0,1,2.5,169342000.0,1,2.5
MLT,Malta,3,182.0,3,100.0,,0,0.0,,0,0.0,,0,0.0
MMR,Myanmar,64,144818.0,52,81.25,10444213.0,54,84.38,18161758000.0,15,23.44,20706499000.0,15,23.44
MNE,Montenegro,9,227.0,4,44.44,13236.0,6,66.67,,0,0.0,,0,0.0
MNG,Mongolia,32,210.0,17,53.12,5648349.0,29,90.62,144064000.0,5,15.62,245336000.0,5,15.62
MNP,Northern Mariana Islands,7,11.0,3,42.86,860.0,3,42.86,1000000000.0,1,14.29,,0,0.0
MOZ,Mozambique,96,4048.0,77,80.21,29640200.0,92,95.83,3157300000.0,15,15.62,4257625000.0,15,15.62
MRT,Mauritania,25,153.0,13,52.0,8848726.0,25,100.0,2000000.0,1,4.0,2764000.0,1,4.0
